Title,Type,Price,Location,Baths,Area,Beds,Amenities,Link
One kanal Brand-new house for sale in DHA phase 2 Islamabad,House,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,6,Built in year: 2020; Parking Spaces: 03; Flooring; Bedrooms: 6; Bathrooms: 7; Servant Quarters: 02; Drawing Room; Dining Room; Kitchens: 2; Study Room; Store Rooms: 1; Other Rooms; Nearby Schools; Nearby Shopping Malls; Nearby Public Transport Service; ,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_one_kanal_brand-new_house_for_sale_in_dha_phase_2_islamabad-46231434-339-1.html
D-17 MVHS 2 bed flat available for sale in main markaz,Flat,PKR52 Lakh,"D-17, Islamabad, Islamabad Capital",2,3.6 Marla,2,Floor: 1; Floors in Building: 4; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; ,https://www.zameen.com/Property/islamabad_d-17_d-17_mvhs_2_bed_flat_available_for_sale_in_main_markaz-46041961-737-1.html
D-17 MVHS main markaz 2 bed flat available for sale,Flat,PKR65 Lakh,"D-17, Islamabad, Islamabad Capital",2,4 Marla,2,Floor: 2; Floors in Building: 4; Elevators: 1; Service Elevators in Building; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Store Rooms: 1; Lounge or Sitting Room; Community Gym; First Aid or Medical Centre; Kids Play Area; Mosque; Maintenance Staff; Security Staff; Laundry or Dry Cleaning Facility; ,https://www.zameen.com/Property/islamabad_d-17_d-17_mvhs_main_markaz_2_bed_flat_available_for_sale-46049511-737-1.html
D17/2 MVHS J7 Building 1 Bed Flat Available For Sale,Flat,PKR70 Lakh,"D-17, Islamabad, Islamabad Capital",1,2.1 Marla,1,Electricity Backup; Floor: 2; Floors in Building: 4; Elevators: 1; Bedrooms: 1; Bathrooms: 1; ,https://www.zameen.com/Property/islamabad_d-17_d17_2_mvhs_j7_building_1_bed_flat_available_for_sale-46390460-737-1.html
Corner plus extra land unit very good chance for purchaser to buy directly,House,PKR10.9 Crore,"Kashmir Highway, Islamabad, Islamabad Capital",6,1.3 Kanal,5,Built in year: 2025; Parking Spaces: 2; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Waste Disposal; Floors: 2; ,https://www.zameen.com/Property/kashmir_highway_eighteen_corner_plus_extra_land_unit_very_good_chance_for_purchaser_to_buy_directly-46391337-12602-1.html
Brand New Self Constructed Defence Villa for Sale with Excellent Finishing,House,PKR4.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,12 Marla,4,Built in year: 2023; Parking Spaces: 2; Double Glazed Windows; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Bedrooms: 4; Bathrooms: 5; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 2; Powder Room; Store Rooms: 1; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Intercom; Other Business and Communication Facilities; Community Lawn or Garden; Mosque; Other Community Facilities; Lawn or Garden; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_-_defence_villas_brand_new_self_constructed_defence_villa_for_sale_with_excellent_finishing-46483475-3075-1.html
D17/2 MVHS brand new MDR good location house available for sale,House,PKR4.25 Crore,"D-17, Islamabad, Islamabad Capital",6,10.7 Marla,5,Bedrooms: 5; Bathrooms: 7; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 2; Lounge or Sitting Room; Community Gym; First Aid or Medical Centre; Kids Play Area; Mosque; Community Centre; ,https://www.zameen.com/Property/islamabad_d-17_d17_2_mvhs_brand_new_mdr_good_location_house_available_for_sale-46390151-737-1.html
10 Marla Unique Designed House In Top Notch Society Bahria Enclave,House,PKR4 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,5,Parking Spaces; Central Air Conditioning; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Bedrooms: 5; Bathrooms: 6; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 2; Prayer Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Other Business and Communication Facilities; Community Lawn or Garden; Community Gym; First Aid or Medical Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Lawn or Garden; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_10_marla_unique_designed_house_in_top_notch_society_bahria_enclave-43800019-11981-1.html
D17 MVHS main markaz 1 bed flat available for sale,Flat,PKR35 Lakh,"D-17, Islamabad, Islamabad Capital",1,2.9 Marla,1,Floor: 3; Floors in Building: 4; Elevators: 1; Service Elevators in Building; Bedrooms: 1; Bathrooms: 1; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; ,https://www.zameen.com/Property/islamabad_d-17_d17_mvhs_main_markaz_1_bed_flat_available_for_sale-46041589-737-1.html
D17/2 MVHS 2 bed flat available for sale main markaz,Flat,PKR64 Lakh,"D-17, Islamabad, Islamabad Capital",2,3.8 Marla,2,Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Waste Disposal; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; Intercom; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); ,https://www.zameen.com/Property/islamabad_d-17_d17_2_mvhs_2_bed_flat_available_for_sale_main_markaz-46457624-737-1.html
